"rank"	"price_usd"	"24h_volume_usd"	"market_cap_usd"	"available_supply"	"total_supply"	"percent_change_1h"	"percent_change_24h"	"percent_change_7d"	"price_btc"
32	32.7646	950557	202316088	6174838	6594838	-1.76	-3.46	-2.02	0.00413797
32	32.7372	946474	202152049	6174995	6594995	-0.1	-3.41	-2.28	0.00411539
32	33.0831	934043	204294872	6175203	6595203	0.74	-2.28	-1.44	0.00412029
31	33.6427	989536	207755966	6175365	6595365	2.43	-0.43	0.03	0.00422666
32	33.2999	992866	205644446	6175527	6595527	1.03	-1.45	-1.17	0.00423302
32	33.9211	1004170	209483039	6175597	6595597	1.58	0.27	0.59	0.0043001
32	33.947	1053960	209647701	6175736	6595736	1.14	0.26	0.6	0.00427193
32	33.6598	1032490	207876367	6175805	6595805	-0.92	-0.76	-0.36	0.00421769
32	33.8207	1020220	208878664	6176060	6596060	-0.63	-0.41	0.02	0.00427364
32	34.3337	1060120	212052546	6176222	6596222	1.95	1.06	1.42	0.00433885
32	33.7223	1041170	208281867	6176384	6596384	-0.28	-0.71	-0.47	0.00428375
32	33.9779	1038590	209862910	6176453	6596453	-0.34	0.09	0.28	0.00429695
33	33.7046	1022840	208179566	6176592	6596592	-0.36	-0.74	-0.44	0.00426848
32	33.7211	1019270	208284352	6176677	6596677	-0.58	-0.76	-0.22	0.00427367
32	33.2371	999852	205303702	6176944	6596944	-1.65	-2.18	-1.35	0.00428099
32	33.224	972697	205224322	6176990	6596990	-1.55	-2.16	-1.04	0.00435513
32	33.4453	970300	206595160	6177106	6597106	0.26	-1.52	-0.16	0.00437097
32	33.3791	975104	206190099	6177222	6597222	0.96	-1.73	-0.34	0.00434003
32	33.7592	977865	208545718	6177448	6597448	1.6	-0.7	0.86	0.0043187
32	34.2604	957199	211646613	6177587	6597587	2.53	0.99	2.5	0.00442503
32	34.3081	935937	211949701	6177833	6597833	2.05	1.39	2.78	0.00440786
32	34.8263	937161	215153472	6177902	6597902	2.55	3.12	4.42	0.00443942
32	34.6938	898309	214339461	6178034	6598034	1.08	2.88	4.17	0.0044029
32	34.2482	974439	211587845	6178072	6598072	-1.33	1.84	2.94	0.00439446
32	34.2809	1006330	211795945	6178249	6598249	-1.09	2.27	3.12	0.00435833
32	34.3389	1019820	212157304	6178337	6598337	-0.02	2.69	3.52	0.00434232
32	33.691	993464	208159818	6178499	6598499	-1.52	0.88	1.87	0.00431463
32	33.1307	988932	204701839	6178615	6598615	-2.3	-0.72	0.48	0.0042381
33	32.8534	976668	202996113	6178846	6598846	-2.39	-1.41	0.09	0.0042059
33	33.0612	969921	204281607	6178893	6598893	-0.4	-0.44	1.23	0.00421103
33	32.9788	987423	203779794	6179115	6599115	0.11	-0.25	1.5	0.00416726
33	33.1733	996791	204985471	6179231	6599231	0.18	0.72	2.56	0.00416994
32	33.2596	982740	205522587	6179346	6599346	0.1	1.13	3.31	0.00419443
33	32.7775	971123	202545800	6179416	6599416	-1.42	-0.67	2.33	0.0041375
33	32.5045	987179	200866343	6179647	6599647	-1.99	-1.97	1.94	0.00412266
33	32.4656	972954	200633319	6179874	6599874	-1.52	-2.6	2.18	0.0041358
33	32.7254	964295	202245667	6180082	6600082	0.82	-2.18	3.25	0.00415579
33	32.4305	940318	200427664	6180221	6600221	0.26	-3.26	2.57	0.00413259
33	32.7442	905775	202372371	6180404	6600404	0.47	-2.48	3.62	0.00416192
33	32.3547	896745	199969238	6180531	6600531	-0.46	-3.58	2.44	0.00415161
34	32.4404	885694	200506268	6180758	6600758	-0.76	-3.39	2.84	0.00416668
34	32.0919	843025	198355244	6180851	6600851	-1.12	-4.63	2.09	0.00417187
34	32.3041	851683	199674896	6181101	6601101	-0.33	-4.29	3.16	0.00418876
34	32.1185	849623	198532738	6181258	6601258	-0.5	-5	2.96	0.0042017
34	32.2681	847552	199461936	6181397	6601397	-0.36	-4.53	3.77	0.00418116
34	32.591	842041	201459267	6181439	6601439	1.17	-3.09	5.17	0.00418601
34	32.0551	790835	198148711	6181503	6601503	-0.68	-4.08	3.72	0.00414659
34	32.1458	780985	198711605	6181573	6601573	-1.34	-3.08	4.35	0.00415167
34	31.8077	757053	196624560	6181665	6601665	-1.4	-3.73	3.64	0.00416208
34	31.4523	732921	194432692	6181827	6601827	-2.09	-4.86	2.77	0.00416556
34	32.0674	757790	198237361	6181897	6601897	0.62	-3.25	5	0.0042103
34	31.8504	727628	196897319	6181942	6601942	0.36	-4.58	4.59	0.0042067
34	32.3362	744985	199905641	6182101	6602101	1.62	-3.56	6.28	0.0043065
33	32.3861	750179	200214877	6182124	6602124	1.99	-3.82	6.42	0.00433623
32	32.7499	733366	202465450	6182170	6602170	1.65	-3.08	7.58	0.00435241
34	33.1579	742032	204990691	6182258	6602258	2.42	-2.07	8.9	0.00435106
34	32.6584	737913	201904921	6182327	6602327	-0.49	-3.67	7.2	0.00431633
33	33.1888	706266	205185564	6182374	6602374	0.94	-2	8.94	0.00433098
33	32.4841	737764	200835311	6182573	6602573	-0.49	-4.05	6.68	0.00421768
34	32.3343	740323	199912005	6182661	6602661	-2.48	-4.46	6.19	0.00421078
34	32.2741	739824	199542050	6182730	6602730	-1.15	-4.33	6.08	0.0042306
